d3mIndex,LRS-class
11,18
16,15
19,42
24,4
36,23
38,26
41,28
42,22
52,43
61,27
63,28
75,26
81,18
84,18
85,27
90,42
91,26
93,15
100,23
108,29
115,26
118,17
131,29
133,24
140,26
145,18
158,33
159,16
165,42
166,32
180,22
181,43
182,25
184,35
185,15
190,27
192,91
198,80
208,44
212,24
219,27
224,32
232,28
236,31
238,29
240,25
241,28
244,27
247,45
248,41
251,42
253,22
256,29
258,34
263,22
271,23
283,18
286,31
290,28
296,13
306,79
307,42
309,42
315,43
320,44
322,25
324,21
335,14
339,24
342,42
354,26
360,29
373,29
374,29
375,28
378,28
382,24
384,23
387,21
394,27
395,29
406,17
407,29
411,23
420,38
422,14
437,23
454,29
463,15
465,44
471,15
473,42
480,21
488,42
493,25
500,29
510,43
513,16
515,27
516,39
517,2
519,28
528,22
