d3mIndex,type,repeat,fold
3,TEST,0,0
6,TEST,0,0
9,TEST,0,0
13,TEST,0,0
23,TEST,0,0
27,TEST,0,0
31,TEST,0,0
38,TEST,0,0
48,TEST,0,0
53,TEST,0,0
55,TEST,0,0
62,TEST,0,0
66,TEST,0,0
71,TEST,0,0
73,TEST,0,0
75,TEST,0,0
83,TEST,0,0
91,TEST,0,0
102,TEST,0,0
104,TEST,0,0
105,TEST,0,0
111,TEST,0,0
114,TEST,0,0
115,TEST,0,0
117,TEST,0,0
126,TEST,0,0
145,TEST,0,0
149,TEST,0,0
152,TEST,0,0
161,TEST,0,0
163,TEST,0,0
166,TEST,0,0
175,TEST,0,0
176,TEST,0,0
177,TEST,0,0
185,TEST,0,0
191,TEST,0,0
195,TEST,0,0
198,TEST,0,0
202,TEST,0,0
205,TEST,0,0
220,TEST,0,0
221,TEST,0,0
231,TEST,0,0
235,TEST,0,0
239,TEST,0,0
244,TEST,0,0
251,TEST,0,0
254,TEST,0,0
256,TEST,0,0
257,TEST,0,0
260,TEST,0,0
263,TEST,0,0
267,TEST,0,0
281,TEST,0,0
282,TEST,0,0
290,TEST,0,0
291,TEST,0,0
301,TEST,0,0
307,TEST,0,0
323,TEST,0,0
324,TEST,0,0
326,TEST,0,0
333,TEST,0,0
335,TEST,0,0
343,TEST,0,0
354,TEST,0,0
355,TEST,0,0
356,TEST,0,0
360,TEST,0,0
368,TEST,0,0
369,TEST,0,0
373,TEST,0,0
378,TEST,0,0
384,TEST,0,0
385,TEST,0,0
389,TEST,0,0
393,TEST,0,0
400,TEST,0,0
404,TEST,0,0
411,TEST,0,0
415,TEST,0,0
418,TEST,0,0
424,TEST,0,0
436,TEST,0,0
461,TEST,0,0
469,TEST,0,0
470,TEST,0,0
472,TEST,0,0
479,TEST,0,0
482,TEST,0,0
501,TEST,0,0
502,TEST,0,0
517,TEST,0,0
518,TEST,0,0
528,TEST,0,0
532,TEST,0,0
539,TEST,0,0
545,TEST,0,0
554,TEST,0,0
555,TEST,0,0
561,TEST,0,0
564,TEST,0,0
566,TEST,0,0
567,TEST,0,0
575,TEST,0,0
585,TEST,0,0
586,TEST,0,0
590,TEST,0,0
608,TEST,0,0
611,TEST,0,0
621,TEST,0,0
635,TEST,0,0
642,TEST,0,0
644,TEST,0,0
646,TEST,0,0
647,TEST,0,0
654,TEST,0,0
659,TEST,0,0
660,TEST,0,0
661,TEST,0,0
667,TEST,0,0
669,TEST,0,0
671,TEST,0,0
682,TEST,0,0
683,TEST,0,0
686,TEST,0,0
688,TEST,0,0
689,TEST,0,0
690,TEST,0,0
692,TEST,0,0
701,TEST,0,0
704,TEST,0,0
707,TEST,0,0
715,TEST,0,0
722,TEST,0,0
730,TEST,0,0
733,TEST,0,0
736,TEST,0,0
743,TEST,0,0
747,TEST,0,0
748,TEST,0,0
749,TEST,0,0
751,TEST,0,0
753,TEST,0,0
758,TEST,0,0
762,TEST,0,0
763,TEST,0,0
768,TEST,0,0
775,TEST,0,0
780,TEST,0,0
789,TEST,0,0
790,TEST,0,0
792,TEST,0,0
796,TEST,0,0
797,TEST,0,0
798,TEST,0,0
801,TEST,0,0
802,TEST,0,0
809,TEST,0,0
813,TEST,0,0
818,TEST,0,0
821,TEST,0,0
833,TEST,0,0
838,TEST,0,0
840,TEST,0,0
845,TEST,0,0
853,TEST,0,0
855,TEST,0,0
856,TEST,0,0
858,TEST,0,0
859,TEST,0,0
860,TEST,0,0
863,TEST,0,0
866,TEST,0,0
868,TEST,0,0
882,TEST,0,0
887,TEST,0,0
891,TEST,0,0
898,TEST,0,0
911,TEST,0,0
912,TEST,0,0
923,TEST,0,0
934,TEST,0,0
940,TEST,0,0
941,TEST,0,0
943,TEST,0,0
945,TEST,0,0
947,TEST,0,0
948,TEST,0,0
960,TEST,0,0
961,TEST,0,0
968,TEST,0,0
972,TEST,0,0
976,TEST,0,0
980,TEST,0,0
981,TEST,0,0
990,TEST,0,0
991,TEST,0,0
998,TEST,0,0
1001,TEST,0,0
1012,TEST,0,0
1016,TEST,0,0
1017,TEST,0,0
1021,TEST,0,0
1028,TEST,0,0
1029,TEST,0,0
1034,TEST,0,0
1038,TEST,0,0
1041,TEST,0,0
1047,TEST,0,0
1052,TEST,0,0
1062,TEST,0,0
1064,TEST,0,0
1071,TEST,0,0
1079,TEST,0,0
