d3mIndex,G1.nodeID,G2.nodeID,match
8,9,ee7632c0601c638f,0
21,429,a9fbcfc8da06e497,1
23,816,9787e937350506f8,1
25,394,711798037af3a11e,1
26,422,95111e4c2b8032d4,1
27,626,35bb1ee2d7c704f4,1
29,70,33ab84c8aa5a5173,1
35,642,74b92b62014124cf,0
37,893,9b87c2e2b9d88366,1
38,29,429f5b95d1c449e2,1
43,30,4ab043a91ec05acd,1
50,298,84db459072fca2ec,1
51,683,e6d63837896b3f7f,0
53,173,eebfbf5b4ae5f8bb,1
56,910,b9a46c01c7c0b40d,1
63,23,090fe828fa0e1a9a,1
71,147,b3c855a5ef5d1cdf,0
85,391,381629582053e902,0
92,730,40197878690eb76e,1
94,99,f8012633e9a4a476,1
97,261,0a048121af82e8fd,1
108,332,34834b0051014af4,1
116,855,c8a8e61aac2f5094,1
123,551,489bebdd5a31090d,1
136,598,b1ad84314585c0f8,0
137,889,3ae20e7a0e1c24d8,1
143,490,d472b57293ae8228,1
147,237,5933fab6d95eea64,1
150,76,b404b40b98c512ce,1
153,611,74db8ff149d5d8ed,0
155,58,49d963fbe12abd59,0
156,923,3ceda08479291525,0
158,627,0fc82369211daa9c,0
163,711,7f5e64bd7754bb11,1
165,636,0cfffb303f78c6bd,1
166,505,b969052b58219a0f,0
167,425,cc4bcead06056523,1
171,527,1506a8608ff45b77,1
173,415,4fa453089d874b82,1
174,88,02280ef707cfb3d1,0
175,963,6b467991e64479ab,1
176,602,2f7fd8e0b76805e8,1
180,978,e4cd1c34f9c93f7e,0
196,745,c6f6ef8a5774a0e0,1
198,772,8b768313ba81966c,0
203,567,9d2ab3e03c7607a7,1
223,583,7db0468f80f641c2,1
225,752,8adeeb6834a1fe43,1
233,650,ac66fc19ad1138fe,1
235,220,7cf92b4e7f8c35e5,1
239,175,d2e51e5c7320a4c5,1
244,78,9b3b9296fa1b4888,1
263,706,01821d8e02cb7d84,1
270,715,c89438de7cade234,1
276,24,927b84c633314aac,0
277,101,44ea89a555263543,1
278,660,5322aca8d194ec67,1
280,806,99c5e28354354f2b,0
283,429,69e05b85cf8a0fe1,0
294,530,e6d63837896b3f7f,1
301,534,2184b82b982ac720,0
303,710,b969052b58219a0f,0
304,182,2b395534b350785c,0
309,618,5480c6b06c14eb5e,1
313,398,0ddaed68703044a9,1
318,990,a215151b24e2a677,1
320,96,28cfa94e157cda82,0
322,192,4c608a5235805104,1
326,808,e657939d8d2b3305,1
359,906,ce41433c605d9678,1
361,555,d0403d0c06c0ba3f,0
364,53,13908e10378f825c,0
371,374,6102709498c3a1b5,1
376,475,6abf3b4e681e66ee,0
378,58,2e4ae7f8412de78b,1
382,916,253f48a20a3adee9,0
386,354,5c7836de5628081d,1
389,834,01821d8e02cb7d84,0
390,978,c1194b163ff07a8b,1
396,528,3c5ffc1430e147d4,1
397,233,f0f06fa2c1d742dc,1
399,196,51cc5456be118d2d,1
405,485,187d09bc687e2c68,1
410,180,00dfd84e5ba59d90,0
416,801,57e350b32cf54ff4,0
417,310,a38fb83a7f275e93,1
432,431,304cf9803aa45a5a,0
438,802,4fc04915ab28eae3,1
441,254,91726e8f9219be90,1
460,358,e1c8e66098da9c7a,1
461,54,c3f7fa33d5f64268,1
469,221,0dc65cab12ff4b62,1
470,113,13908e10378f825c,1
471,674,a16afdd3b1b91ead,1
473,174,411bac399303218c,1
477,852,dccc22b1308724d6,0
486,975,43e06cabd0624e29,0
488,732,7386398aa1e81375,0
492,824,cb6d346f4309bd44,0
505,584,ecfdfb5ae57a2bb9,1
506,147,50e3f231a46b0721,1
509,83,16e15b24b0bf12ee,1
517,354,a9442c57b063010b,0
522,43,6fe43337593ca6b8,0
526,382,cc4bcead06056523,0
532,312,e74c5a57bce9f9c2,1
537,430,c8d9c6cf6c523595,1
548,453,5330538ffce3ce0d,0
551,967,5fd718a55085ab2f,0
