d3mIndex,type,repeat,fold
8,TRAIN,0,0
21,TRAIN,0,0
23,TRAIN,0,0
25,TRAIN,0,0
26,TRAIN,0,0
27,TRAIN,0,0
29,TRAIN,0,0
35,TRAIN,0,0
37,TRAIN,0,0
38,TRAIN,0,0
43,TRAIN,0,0
50,TRAIN,0,0
51,TRAIN,0,0
53,TRAIN,0,0
56,TRAIN,0,0
63,TRAIN,0,0
71,TRAIN,0,0
85,TRAIN,0,0
92,TRAIN,0,0
94,TRAIN,0,0
97,TRAIN,0,0
108,TRAIN,0,0
116,TRAIN,0,0
123,TRAIN,0,0
136,TRAIN,0,0
137,TRAIN,0,0
143,TRAIN,0,0
147,TRAIN,0,0
150,TRAIN,0,0
153,TRAIN,0,0
155,TRAIN,0,0
156,TRAIN,0,0
158,TRAIN,0,0
163,TRAIN,0,0
165,TRAIN,0,0
166,TRAIN,0,0
167,TRAIN,0,0
171,TRAIN,0,0
173,TRAIN,0,0
174,TRAIN,0,0
175,TRAIN,0,0
176,TRAIN,0,0
180,TRAIN,0,0
196,TRAIN,0,0
198,TRAIN,0,0
203,TRAIN,0,0
223,TRAIN,0,0
225,TRAIN,0,0
233,TRAIN,0,0
235,TRAIN,0,0
239,TRAIN,0,0
244,TRAIN,0,0
263,TRAIN,0,0
270,TRAIN,0,0
276,TRAIN,0,0
277,TRAIN,0,0
278,TRAIN,0,0
280,TRAIN,0,0
283,TRAIN,0,0
294,TRAIN,0,0
301,TRAIN,0,0
303,TRAIN,0,0
304,TRAIN,0,0
309,TRAIN,0,0
313,TRAIN,0,0
318,TRAIN,0,0
320,TRAIN,0,0
322,TRAIN,0,0
326,TRAIN,0,0
359,TRAIN,0,0
361,TRAIN,0,0
364,TRAIN,0,0
371,TRAIN,0,0
376,TRAIN,0,0
378,TRAIN,0,0
382,TRAIN,0,0
386,TRAIN,0,0
389,TRAIN,0,0
390,TRAIN,0,0
396,TRAIN,0,0
397,TRAIN,0,0
399,TRAIN,0,0
405,TRAIN,0,0
410,TRAIN,0,0
416,TRAIN,0,0
417,TRAIN,0,0
432,TRAIN,0,0
438,TRAIN,0,0
441,TRAIN,0,0
460,TRAIN,0,0
461,TRAIN,0,0
469,TRAIN,0,0
470,TRAIN,0,0
471,TRAIN,0,0
473,TRAIN,0,0
477,TRAIN,0,0
486,TRAIN,0,0
488,TRAIN,0,0
492,TRAIN,0,0
505,TRAIN,0,0
506,TRAIN,0,0
509,TRAIN,0,0
517,TRAIN,0,0
522,TRAIN,0,0
526,TRAIN,0,0
532,TRAIN,0,0
537,TRAIN,0,0
548,TRAIN,0,0
551,TRAIN,0,0
552,TRAIN,0,0
557,TRAIN,0,0
563,TRAIN,0,0
566,TRAIN,0,0
571,TRAIN,0,0
576,TRAIN,0,0
592,TRAIN,0,0
601,TRAIN,0,0
602,TRAIN,0,0
603,TRAIN,0,0
609,TRAIN,0,0
610,TRAIN,0,0
613,TRAIN,0,0
615,TRAIN,0,0
617,TRAIN,0,0
621,TRAIN,0,0
628,TRAIN,0,0
632,TRAIN,0,0
639,TRAIN,0,0
640,TRAIN,0,0
641,TRAIN,0,0
645,TRAIN,0,0
646,TRAIN,0,0
647,TRAIN,0,0
