d3mIndex,sourceNode,targetNode,linkExists
0,4,3,1
1,7,5,1
3,12,16,0
4,10,15,0
5,27,33,0
9,9,34,1
10,6,34,0
15,4,25,0
18,5,25,0
19,5,33,0
20,12,25,0
24,22,23,0
25,13,4,1
28,4,16,0
29,2,11,0
33,5,27,0
35,9,33,1
38,1,5,1
40,30,27,1
41,33,23,1
47,3,2,1
48,13,28,0
50,9,3,1
52,28,24,1
53,15,27,0
57,8,2,1
59,19,32,0
60,10,17,0
61,33,19,1
62,32,33,1
65,7,17,1
66,29,34,1
68,8,18,0
69,28,34,1
70,1,34,0
72,10,34,1
73,1,4,1
74,1,8,1
77,31,33,1
81,26,33,0
82,2,31,1
83,14,3,1
84,1,3,1
85,6,26,0
86,7,13,0
88,4,22,0
89,4,11,0
90,33,24,1
91,4,29,0
92,32,25,1
93,11,20,0
95,33,15,1
99,32,34,1
100,3,23,0
102,14,2,1
103,32,26,1
104,2,24,0
106,24,26,1
107,17,24,0
109,11,6,1
110,10,13,0
111,13,16,0
114,22,2,1
124,1,18,1
129,10,21,0
130,9,20,0
131,22,32,0
133,20,2,1
135,4,34,0
137,11,27,0
138,14,31,0
139,14,4,1
140,9,14,0
142,19,28,0
146,24,30,1
147,1,2,1
