d3mIndex,type,repeat,fold
0,TEST,0,0
1,TEST,0,0
3,TEST,0,0
4,TEST,0,0
5,TEST,0,0
9,TEST,0,0
10,TEST,0,0
15,TEST,0,0
18,TEST,0,0
19,TEST,0,0
20,TEST,0,0
24,TEST,0,0
25,TEST,0,0
28,TEST,0,0
29,TEST,0,0
33,TEST,0,0
35,TEST,0,0
38,TEST,0,0
40,TEST,0,0
41,TEST,0,0
47,TEST,0,0
48,TEST,0,0
50,TEST,0,0
52,TEST,0,0
53,TEST,0,0
57,TEST,0,0
59,TEST,0,0
60,TEST,0,0
61,TEST,0,0
62,TEST,0,0
65,TEST,0,0
66,TEST,0,0
68,TEST,0,0
69,TEST,0,0
70,TEST,0,0
72,TEST,0,0
73,TEST,0,0
74,TEST,0,0
77,TEST,0,0
81,TEST,0,0
82,TEST,0,0
83,TEST,0,0
84,TEST,0,0
85,TEST,0,0
86,TEST,0,0
88,TEST,0,0
89,TEST,0,0
90,TEST,0,0
91,TEST,0,0
92,TEST,0,0
93,TEST,0,0
95,TEST,0,0
99,TEST,0,0
100,TEST,0,0
102,TEST,0,0
103,TEST,0,0
104,TEST,0,0
106,TEST,0,0
107,TEST,0,0
109,TEST,0,0
110,TEST,0,0
111,TEST,0,0
114,TEST,0,0
124,TEST,0,0
129,TEST,0,0
130,TEST,0,0
131,TEST,0,0
133,TEST,0,0
135,TEST,0,0
137,TEST,0,0
138,TEST,0,0
139,TEST,0,0
140,TEST,0,0
142,TEST,0,0
146,TEST,0,0
147,TEST,0,0
