d3mIndex,sourceNode,targetNode,linkExists
2,15,24,0
6,18,27,0
7,15,31,0
8,34,24,1
11,5,26,0
12,7,10,0
13,3,28,1
14,32,29,1
16,18,21,0
17,2,26,0
21,3,33,1
22,4,27,0
23,9,11,0
26,9,23,0
27,6,17,1
30,1,3,1
31,11,5,1
32,33,19,1
34,26,25,1
36,13,4,1
37,4,3,1
39,10,34,1
42,4,9,0
43,25,34,0
44,12,34,0
45,2,31,1
46,8,11,0
49,3,34,0
51,2,24,0
54,1,4,1
55,34,27,1
56,5,22,0
58,7,15,0
63,1,2,1
64,4,24,0
67,22,28,0
71,14,28,0
75,1,9,1
76,2,13,0
78,1,20,1
79,15,20,0
80,28,34,1
87,21,32,0
94,8,4,1
96,20,2,1
97,1,5,1
98,1,32,1
101,33,30,1
105,18,2,1
108,20,30,0
112,8,19,0
113,7,6,1
115,24,30,1
116,32,34,1
117,24,26,1
118,22,2,1
119,11,16,0
120,32,25,1
121,9,33,1
122,2,29,0
123,31,33,1
125,7,26,0
126,4,29,0
127,20,31,0
128,14,4,1
132,11,28,0
134,1,6,1
136,10,24,0
141,33,15,1
143,18,26,0
144,9,10,0
145,34,21,1
148,14,2,1
149,28,29,0
150,2,17,0
151,6,20,0
