d3mIndex,nodeID,community
1,225214,0
5,331787,1
8,421279,2
12,231953,3
17,304770,4
18,112813,5
22,112813,6
26,199372,7
33,412528,8
38,540207,9
40,191846,10
46,170327,11
50,170327,12
52,55727,13
56,55727,14
62,170327,15
67,269070,16
73,280502,17
77,260685,18
79,104191,19
85,78359,20
91,497007,21
96,213615,22
103,213617,23
109,444709,24
114,337981,25
122,522555,26
126,278335,27
132,112823,28
133,112813,29
137,348108,30
144,243477,31
150,33054,32
154,147735,33
165,428792,34
173,483698,35
177,449388,36
180,335486,37
190,170269,38
198,452567,39
204,249463,40
209,332135,41
212,36892,42
217,36892,43
223,135088,44
231,359673,45
241,372395,46
245,182210,47
256,464872,48
259,170327,49
262,273430,50
269,20186,51
277,249025,52
281,213615,53
284,213603,54
291,372238,55
297,155666,56
302,29159,57
311,163140,58
317,231529,59
324,174631,60
332,334721,61
336,112814,62
342,112823,63
345,521598,64
349,521598,65
353,449093,66
359,461414,67
360,112813,68
364,38504,69
372,23338,70
379,79348,71
390,392394,72
394,66620,73
404,249025,74
407,233468,75
413,213603,76
426,536483,77
427,221215,78
437,387661,79
444,302622,80
447,233468,81
457,221076,82
470,523055,83
471,280181,84
479,55727,85
489,231533,86
493,129187,87
502,90608,88
516,542899,89
524,524822,90
527,112814,91
531,273430,92
535,46638,93
549,351508,94
558,394142,95
564,357139,96
568,213604,97
576,234939,98
587,528463,99
593,317988,100
600,133589,101
608,142980,102
617,37099,103
630,79164,104
641,446662,105
647,396166,106
654,108405,107
665,202424,108
676,367283,109
679,213603,110
685,100394,111
697,253308,112
701,253308,113
708,499056,114
712,199812,115
719,60792,116
735,431590,117
744,424292,118
751,315852,119
758,329732,120
766,422756,121
775,280334,122
782,452316,123
789,281988,124
802,511464,125
806,257956,126
821,543618,127
824,33850,128
832,467308,129
836,152903,130
850,216152,131
856,214408,132
868,305042,133
874,163452,134
883,338843,135
891,153838,136
902,112821,137
906,112668,138
918,353245,139
922,219649,140
932,64777,141
942,256350,142
948,276029,143
957,434086,144
974,528406,145
977,396166,146
989,350763,147
993,378519,148
999,221577,149
1011,339289,150
1021,93341,151
1037,375470,152
1046,222178,153
1060,463165,154
1072,350356,155
1075,21742,156
1092,216724,157
1104,114561,158
1116,289094,159
1122,213615,160
1129,476575,161
1138,239132,162
1150,542891,163
1156,43288,164
1178,526750,165
1185,154417,166
1197,201574,167
1211,343464,168
1230,515271,169
1234,436218,170
1239,436218,171
1241,4406,172
1257,229395,173
1270,220034,174
1277,318299,175
1292,391732,176
1297,164710,177
1307,323354,178
1313,240095,179
1321,243898,180
1328,264346,181
1343,396166,182
1351,166143,183
1366,201582,184
1380,415253,185
1394,405956,186
1400,470794,187
1414,463507,188
1420,311349,189
1428,136210,190
1441,129710,191
1457,365200,192
1475,517527,193
1489,418406,194
1500,410927,195
1502,55727,196
1507,433612,197
1510,51830,198
1526,217106,199
1544,377023,200
1550,44111,201
1573,377023,202
1579,112814,203
1582,2223,204
1597,74320,205
1614,241646,206
1629,248812,207
1645,249514,208
1653,225226,209
1664,185031,210
1674,436121,211
1683,293070,212
1693,124,213
1708,436711,214
1714,164133,215
1719,530421,216
1731,436325,217
1741,408235,218
1747,301853,219
1754,250186,220
1763,348218,221
1769,359673,222
1779,284791,223
1795,517963,224
1796,134939,225
1802,11773,226
1831,462464,227
1846,346114,228
1850,349,229
1874,503406,230
1883,426387,231
1891,271402,232
1900,20183,233
1905,121006,234
1927,262820,235
1928,348108,236
1947,437936,237
1953,118929,238
1967,110512,239
1983,382137,240
1997,302152,241
2009,109422,242
2015,77776,243
2037,237771,244
2047,146593,245
2058,500036,246
2069,503396,247
2077,86953,248
2091,359673,249
2112,531176,250
2118,344930,251
2124,89139,252
2158,525524,253
2168,358037,254
2189,524843,255
2190,4406,256
2215,410870,257
2222,467601,258
2224,128,259
2239,504753,260
2244,46703,261
2259,285310,262
2276,320985,263
2287,110248,264
2305,237977,265
2309,82730,266
2316,219649,267
2322,2348,268
2350,455309,269
2356,483701,270
2359,55727,271
2379,464495,272
2383,103148,273
2387,302845,274
2393,209104,275
2407,224119,276
2413,186509,277
2417,79592,278
2442,235463,279
2460,517525,280
2472,496219,281
2492,473812,282
2500,333697,283
2510,277248,284
2517,209646,285
2536,198172,286
2554,335007,287
2555,55727,288
2576,495664,289
2583,201855,290
2590,422756,291
2593,233468,292
2608,406477,293
2627,543262,294
2630,14435,295
2644,74639,296
2664,364176,297
2669,335007,298
2676,387663,299
2693,540364,300
2696,87694,301
2715,353931,302
2724,72095,303
2748,508622,304
2749,151034,305
2759,171678,306
2773,447988,307
2784,345111,308
2806,309044,309
2822,402718,310
2833,199263,311
2858,540627,312
2859,10596,313
2875,158928,314
2910,518091,315
2916,257621,316
2937,342258,317
2946,201574,318
2966,524843,319
2976,321284,320
2992,280772,321
3009,391504,322
3024,267735,323
3038,382482,324
3044,157060,325
3078,526595,326
3091,335040,327
3107,78957,328
3131,130580,329
3156,85486,330
3173,203229,331
3196,162804,332
3205,179179,333
3226,378414,334
3237,230601,335
3261,322563,336
3275,531490,337
3287,363427,338
3297,127731,339
3309,229173,340
3323,356196,341
3331,486195,342
3334,32239,343
3354,9244,344
3401,539125,345
3409,171491,346
3427,226654,347
3449,304564,348
3454,51511,349
3493,265479,350
3503,199372,351
3509,64131,352
3530,176908,353
3553,151751,354
3592,543731,355
3610,542826,356
3636,492349,357
3644,188313,358
3672,159929,359
3697,203600,360
3731,536742,361
3757,462377,362
3764,263151,363
3775,331974,364
3797,411757,365
3808,241282,366
3829,501100,367
3835,546317,368
3856,404226,369
3870,546317,370
3876,269061,371
3890,492595,372
3907,536741,373
3927,382042,374
3942,361696,375
3946,361698,376
3947,41256,377
3952,288126,378
3958,55727,379
3969,188313,380
3990,232842,381
4002,227789,382
4014,332943,383
4047,543731,384
4065,542826,385
4092,441658,386
4108,380137,387
4111,285310,388
4122,114379,389
4134,91927,390
4167,543730,391
4181,545995,392
4198,499411,393
4202,289685,394
4231,482085,395
4236,51130,396
4269,540207,397
4271,161938,398
4285,129913,399
4297,128824,400
4318,23901,401
4370,423615,402
4377,39539,403
4424,483882,404
4436,205568,405
4451,321320,406
4461,172464,407
4493,456694,408
4509,546890,409
4511,57824,410
4535,272841,411
4551,433612,412
4557,149985,413
4593,513774,414
4604,277892,415
4617,274813,416
4627,366590,417
4631,8324,418
4675,375097,419
4689,353931,420
4712,398321,421
4738,431428,422
4747,13732,423
4791,542867,424
4804,39542,425
4824,31455,426
4847,535668,427
4866,510314,428
4879,239320,429
