d3mIndex,type,repeat,fold
1,TRAIN,0,0
5,TRAIN,0,0
8,TRAIN,0,0
12,TRAIN,0,0
17,TRAIN,0,0
18,TRAIN,0,0
22,TRAIN,0,0
26,TRAIN,0,0
33,TRAIN,0,0
38,TRAIN,0,0
40,TRAIN,0,0
46,TRAIN,0,0
50,TRAIN,0,0
52,TRAIN,0,0
56,TRAIN,0,0
62,TRAIN,0,0
67,TRAIN,0,0
73,TRAIN,0,0
77,TRAIN,0,0
79,TRAIN,0,0
85,TRAIN,0,0
91,TRAIN,0,0
96,TRAIN,0,0
103,TRAIN,0,0
109,TRAIN,0,0
114,TRAIN,0,0
122,TRAIN,0,0
126,TRAIN,0,0
132,TRAIN,0,0
133,TRAIN,0,0
137,TRAIN,0,0
144,TRAIN,0,0
150,TRAIN,0,0
154,TRAIN,0,0
165,TRAIN,0,0
173,TRAIN,0,0
177,TRAIN,0,0
180,TRAIN,0,0
190,TRAIN,0,0
198,TRAIN,0,0
204,TRAIN,0,0
209,TRAIN,0,0
212,TRAIN,0,0
217,TRAIN,0,0
223,TRAIN,0,0
231,TRAIN,0,0
241,TRAIN,0,0
245,TRAIN,0,0
256,TRAIN,0,0
259,TRAIN,0,0
262,TRAIN,0,0
269,TRAIN,0,0
277,TRAIN,0,0
281,TRAIN,0,0
284,TRAIN,0,0
291,TRAIN,0,0
297,TRAIN,0,0
302,TRAIN,0,0
311,TRAIN,0,0
317,TRAIN,0,0
324,TRAIN,0,0
332,TRAIN,0,0
336,TRAIN,0,0
342,TRAIN,0,0
345,TRAIN,0,0
349,TRAIN,0,0
353,TRAIN,0,0
359,TRAIN,0,0
360,TRAIN,0,0
364,TRAIN,0,0
372,TRAIN,0,0
379,TRAIN,0,0
390,TRAIN,0,0
394,TRAIN,0,0
404,TRAIN,0,0
407,TRAIN,0,0
413,TRAIN,0,0
426,TRAIN,0,0
427,TRAIN,0,0
437,TRAIN,0,0
444,TRAIN,0,0
447,TRAIN,0,0
457,TRAIN,0,0
470,TRAIN,0,0
471,TRAIN,0,0
479,TRAIN,0,0
489,TRAIN,0,0
493,TRAIN,0,0
502,TRAIN,0,0
516,TRAIN,0,0
524,TRAIN,0,0
527,TRAIN,0,0
531,TRAIN,0,0
535,TRAIN,0,0
549,TRAIN,0,0
558,TRAIN,0,0
564,TRAIN,0,0
568,TRAIN,0,0
576,TRAIN,0,0
587,TRAIN,0,0
593,TRAIN,0,0
600,TRAIN,0,0
608,TRAIN,0,0
617,TRAIN,0,0
630,TRAIN,0,0
641,TRAIN,0,0
647,TRAIN,0,0
654,TRAIN,0,0
665,TRAIN,0,0
676,TRAIN,0,0
679,TRAIN,0,0
685,TRAIN,0,0
697,TRAIN,0,0
701,TRAIN,0,0
708,TRAIN,0,0
712,TRAIN,0,0
719,TRAIN,0,0
735,TRAIN,0,0
744,TRAIN,0,0
751,TRAIN,0,0
758,TRAIN,0,0
766,TRAIN,0,0
775,TRAIN,0,0
782,TRAIN,0,0
789,TRAIN,0,0
802,TRAIN,0,0
806,TRAIN,0,0
821,TRAIN,0,0
824,TRAIN,0,0
832,TRAIN,0,0
836,TRAIN,0,0
850,TRAIN,0,0
856,TRAIN,0,0
868,TRAIN,0,0
874,TRAIN,0,0
883,TRAIN,0,0
891,TRAIN,0,0
902,TRAIN,0,0
906,TRAIN,0,0
918,TRAIN,0,0
922,TRAIN,0,0
932,TRAIN,0,0
942,TRAIN,0,0
948,TRAIN,0,0
957,TRAIN,0,0
974,TRAIN,0,0
977,TRAIN,0,0
989,TRAIN,0,0
993,TRAIN,0,0
999,TRAIN,0,0
1011,TRAIN,0,0
1021,TRAIN,0,0
1037,TRAIN,0,0
1046,TRAIN,0,0
1060,TRAIN,0,0
1072,TRAIN,0,0
1075,TRAIN,0,0
1092,TRAIN,0,0
1104,TRAIN,0,0
1116,TRAIN,0,0
1122,TRAIN,0,0
1129,TRAIN,0,0
1138,TRAIN,0,0
1150,TRAIN,0,0
1156,TRAIN,0,0
1178,TRAIN,0,0
1185,TRAIN,0,0
1197,TRAIN,0,0
1211,TRAIN,0,0
1230,TRAIN,0,0
1234,TRAIN,0,0
1239,TRAIN,0,0
1241,TRAIN,0,0
1257,TRAIN,0,0
1270,TRAIN,0,0
1277,TRAIN,0,0
1292,TRAIN,0,0
1297,TRAIN,0,0
1307,TRAIN,0,0
1313,TRAIN,0,0
1321,TRAIN,0,0
1328,TRAIN,0,0
1343,TRAIN,0,0
1351,TRAIN,0,0
1366,TRAIN,0,0
1380,TRAIN,0,0
1394,TRAIN,0,0
1400,TRAIN,0,0
1414,TRAIN,0,0
1420,TRAIN,0,0
1428,TRAIN,0,0
1441,TRAIN,0,0
1457,TRAIN,0,0
1475,TRAIN,0,0
1489,TRAIN,0,0
1500,TRAIN,0,0
1502,TRAIN,0,0
1507,TRAIN,0,0
1510,TRAIN,0,0
1526,TRAIN,0,0
1544,TRAIN,0,0
1550,TRAIN,0,0
1573,TRAIN,0,0
1579,TRAIN,0,0
1582,TRAIN,0,0
1597,TRAIN,0,0
1614,TRAIN,0,0
1629,TRAIN,0,0
1645,TRAIN,0,0
1653,TRAIN,0,0
1664,TRAIN,0,0
1674,TRAIN,0,0
1683,TRAIN,0,0
1693,TRAIN,0,0
1708,TRAIN,0,0
1714,TRAIN,0,0
1719,TRAIN,0,0
1731,TRAIN,0,0
1741,TRAIN,0,0
1747,TRAIN,0,0
1754,TRAIN,0,0
1763,TRAIN,0,0
1769,TRAIN,0,0
1779,TRAIN,0,0
1795,TRAIN,0,0
1796,TRAIN,0,0
1802,TRAIN,0,0
1831,TRAIN,0,0
1846,TRAIN,0,0
1850,TRAIN,0,0
1874,TRAIN,0,0
1883,TRAIN,0,0
1891,TRAIN,0,0
1900,TRAIN,0,0
1905,TRAIN,0,0
1927,TRAIN,0,0
1928,TRAIN,0,0
1947,TRAIN,0,0
1953,TRAIN,0,0
1967,TRAIN,0,0
1983,TRAIN,0,0
1997,TRAIN,0,0
2009,TRAIN,0,0
2015,TRAIN,0,0
2037,TRAIN,0,0
2047,TRAIN,0,0
2058,TRAIN,0,0
2069,TRAIN,0,0
2077,TRAIN,0,0
2091,TRAIN,0,0
2112,TRAIN,0,0
2118,TRAIN,0,0
2124,TRAIN,0,0
2158,TRAIN,0,0
2168,TRAIN,0,0
2189,TRAIN,0,0
2190,TRAIN,0,0
2215,TRAIN,0,0
2222,TRAIN,0,0
2224,TRAIN,0,0
2239,TRAIN,0,0
2244,TRAIN,0,0
2259,TRAIN,0,0
2276,TRAIN,0,0
2287,TRAIN,0,0
2305,TRAIN,0,0
2309,TRAIN,0,0
2316,TRAIN,0,0
2322,TRAIN,0,0
2350,TRAIN,0,0
2356,TRAIN,0,0
2359,TRAIN,0,0
2379,TRAIN,0,0
2383,TRAIN,0,0
2387,TRAIN,0,0
2393,TRAIN,0,0
2407,TRAIN,0,0
2413,TRAIN,0,0
