d3mIndex,type,repeat,fold
3,TRAIN,0,0
15,TRAIN,0,0
30,TRAIN,0,0
50,TRAIN,0,0
54,TRAIN,0,0
61,TRAIN,0,0
66,TRAIN,0,0
72,TRAIN,0,0
80,TRAIN,0,0
101,TRAIN,0,0
111,TRAIN,0,0
116,TRAIN,0,0
127,TRAIN,0,0
130,TRAIN,0,0
147,TRAIN,0,0
149,TRAIN,0,0
158,TRAIN,0,0
164,TRAIN,0,0
169,TRAIN,0,0
172,TRAIN,0,0
180,TRAIN,0,0
188,TRAIN,0,0
202,TRAIN,0,0
213,TRAIN,0,0
224,TRAIN,0,0
238,TRAIN,0,0
246,TRAIN,0,0
259,TRAIN,0,0
266,TRAIN,0,0
298,TRAIN,0,0
307,TRAIN,0,0
326,TRAIN,0,0
332,TRAIN,0,0
339,TRAIN,0,0
349,TRAIN,0,0
357,TRAIN,0,0
369,TRAIN,0,0
377,TRAIN,0,0
390,TRAIN,0,0
401,TRAIN,0,0
406,TRAIN,0,0
424,TRAIN,0,0
444,TRAIN,0,0
453,TRAIN,0,0
459,TRAIN,0,0
467,TRAIN,0,0
473,TRAIN,0,0
487,TRAIN,0,0
493,TRAIN,0,0
513,TRAIN,0,0
518,TRAIN,0,0
528,TRAIN,0,0
531,TRAIN,0,0
541,TRAIN,0,0
549,TRAIN,0,0
555,TRAIN,0,0
562,TRAIN,0,0
564,TRAIN,0,0
571,TRAIN,0,0
584,TRAIN,0,0
591,TRAIN,0,0
599,TRAIN,0,0
610,TRAIN,0,0
622,TRAIN,0,0
629,TRAIN,0,0
635,TRAIN,0,0
644,TRAIN,0,0
648,TRAIN,0,0
665,TRAIN,0,0
678,TRAIN,0,0
683,TRAIN,0,0
694,TRAIN,0,0
700,TRAIN,0,0
709,TRAIN,0,0
711,TRAIN,0,0
721,TRAIN,0,0
724,TRAIN,0,0
736,TRAIN,0,0
740,TRAIN,0,0
755,TRAIN,0,0
766,TRAIN,0,0
773,TRAIN,0,0
779,TRAIN,0,0
782,TRAIN,0,0
801,TRAIN,0,0
806,TRAIN,0,0
816,TRAIN,0,0
824,TRAIN,0,0
826,TRAIN,0,0
838,TRAIN,0,0
846,TRAIN,0,0
851,TRAIN,0,0
858,TRAIN,0,0
863,TRAIN,0,0
881,TRAIN,0,0
889,TRAIN,0,0
894,TRAIN,0,0
905,TRAIN,0,0
912,TRAIN,0,0
935,TRAIN,0,0
953,TRAIN,0,0
962,TRAIN,0,0
971,TRAIN,0,0
981,TRAIN,0,0
1004,TRAIN,0,0
1011,TRAIN,0,0
1015,TRAIN,0,0
1030,TRAIN,0,0
1038,TRAIN,0,0
1053,TRAIN,0,0
1057,TRAIN,0,0
1062,TRAIN,0,0
1077,TRAIN,0,0
1088,TRAIN,0,0
1094,TRAIN,0,0
1098,TRAIN,0,0
1105,TRAIN,0,0
1115,TRAIN,0,0
1121,TRAIN,0,0
1128,TRAIN,0,0
1142,TRAIN,0,0
1151,TRAIN,0,0
1153,TRAIN,0,0
1160,TRAIN,0,0
1170,TRAIN,0,0
1171,TRAIN,0,0
1177,TRAIN,0,0
1189,TRAIN,0,0
1196,TRAIN,0,0
1199,TRAIN,0,0
1226,TRAIN,0,0
1244,TRAIN,0,0
1253,TRAIN,0,0
1263,TRAIN,0,0
1275,TRAIN,0,0
1284,TRAIN,0,0
1290,TRAIN,0,0
1303,TRAIN,0,0
1308,TRAIN,0,0
1317,TRAIN,0,0
1324,TRAIN,0,0
1329,TRAIN,0,0
1337,TRAIN,0,0
1340,TRAIN,0,0
1365,TRAIN,0,0
1383,TRAIN,0,0
1385,TRAIN,0,0
1398,TRAIN,0,0
1403,TRAIN,0,0
1406,TRAIN,0,0
1425,TRAIN,0,0
1432,TRAIN,0,0
1435,TRAIN,0,0
1456,TRAIN,0,0
1460,TRAIN,0,0
1468,TRAIN,0,0
1481,TRAIN,0,0
1486,TRAIN,0,0
1488,TRAIN,0,0
1495,TRAIN,0,0
1519,TRAIN,0,0
1523,TRAIN,0,0
1531,TRAIN,0,0
1537,TRAIN,0,0
1549,TRAIN,0,0
1556,TRAIN,0,0
1567,TRAIN,0,0
1578,TRAIN,0,0
1582,TRAIN,0,0
1597,TRAIN,0,0
1602,TRAIN,0,0
1605,TRAIN,0,0
1613,TRAIN,0,0
1625,TRAIN,0,0
1636,TRAIN,0,0
1643,TRAIN,0,0
1656,TRAIN,0,0
1668,TRAIN,0,0
1674,TRAIN,0,0
1690,TRAIN,0,0
1693,TRAIN,0,0
1701,TRAIN,0,0
1709,TRAIN,0,0
1716,TRAIN,0,0
1728,TRAIN,0,0
1740,TRAIN,0,0
1746,TRAIN,0,0
1755,TRAIN,0,0
1762,TRAIN,0,0
1770,TRAIN,0,0
1779,TRAIN,0,0
1788,TRAIN,0,0
1799,TRAIN,0,0
1804,TRAIN,0,0
1811,TRAIN,0,0
1816,TRAIN,0,0
1823,TRAIN,0,0
1831,TRAIN,0,0
1836,TRAIN,0,0
1844,TRAIN,0,0
1865,TRAIN,0,0
1874,TRAIN,0,0
1879,TRAIN,0,0
1885,TRAIN,0,0
1902,TRAIN,0,0
1910,TRAIN,0,0
1917,TRAIN,0,0
1924,TRAIN,0,0
1933,TRAIN,0,0
1940,TRAIN,0,0
1946,TRAIN,0,0
1957,TRAIN,0,0
1960,TRAIN,0,0
1968,TRAIN,0,0
1973,TRAIN,0,0
1990,TRAIN,0,0
1999,TRAIN,0,0
2016,TRAIN,0,0
2026,TRAIN,0,0
2031,TRAIN,0,0
2037,TRAIN,0,0
2048,TRAIN,0,0
2055,TRAIN,0,0
2064,TRAIN,0,0
