d3mIndex,Age,Sex,Income,Travel_cost,Access_road,Active,Passive,Logged_income,Trips
0,49.0,1.0,781.25,170.4,0,0.0,0.0,6.660895201000001,0
2,25.0,1.0,1562.5,48.0,0,0.0,0.0,7.354042382,0
3,67.0,1.0,,48.0003,0,1.0,1.0,,0
4,17.0,0.0,156.25,48.0003,0,3.0,2.0,5.051457289,1
5,42.0,0.0,1250.0,25.2,0,2.0,0.0,7.13089883,1
7,45.0,0.0,343.75,48.0,0,1.0,1.0,5.839914649,0
8,45.0,0.0,1718.75,48.0003,0,2.0,0.0,7.449352561,0
9,18.0,0.0,375.0,48.0003,0,3.0,2.0,5.926926026,1
10,39.0,1.0,1875.0,190.8,0,2.0,2.0,7.536363937999999,0
11,26.0,1.0,937.5,48.0003,0,2.0,2.0,6.843216758,0
12,42.0,1.0,198.019802,48.0003,1,0.0,0.0,5.288367036,0
13,45.0,0.0,1562.5,161.7,0,1.0,1.0,7.354042382,0
14,28.0,0.0,718.75,48.0,0,0.0,0.0,6.577513592000001,0
15,36.0,1.0,4687.5,170.4,0,1.0,2.0,8.45265467,2
16,58.0,0.0,562.5,48.0003,1,2.0,2.0,6.332391134,0
17,28.0,0.0,781.25,48.0003,0,2.0,0.0,6.660895201000001,1
18,62.0,1.0,781.25,56.4,0,2.0,2.0,6.660895201000001,0
20,53.0,1.0,156.25,29.4,1,0.0,0.0,5.051457289,1
21,22.0,0.0,187.5,48.0003,0,6.0,1.0,5.233778845,5
22,23.0,1.0,593.75,48.0003,0,2.0,1.0,6.386458355,0
23,24.0,0.0,1000.0,,0,0.0,0.0,6.907755279,0
24,28.0,1.0,,87.0,0,0.0,1.0,,0
25,42.0,1.0,400.0,535.5,1,0.0,0.0,5.9914645470000005,0
26,66.0,0.0,937.5,29.4,0,0.0,0.0,6.843216758,7
27,32.0,1.0,106.25,161.7,0,0.0,0.0,4.665794808,0
28,22.0,1.0,117.25,29.4,1,0.0,0.0,4.764308407,1
29,36.0,0.0,2000.0,288.0,0,0.0,0.0,7.60090246,0
32,53.0,0.0,625.0,170.4,0,0.0,1.0,6.43775165,0
33,,0.0,1000.0,48.0,0,0.0,0.0,6.907755279,0
34,16.0,1.0,469.0,48.0003,0,0.0,0.0,6.150602768,0
35,32.0,1.0,750.0,48.0003,0,0.0,2.0,6.620073207000001,0
36,45.0,0.0,990.0990098999999,48.0003,0,0.0,0.0,6.897804947999999,0
37,17.0,0.0,,48.0,0,1.0,1.0,,0
38,29.0,1.0,937.5,190.8,0,1.0,1.0,6.843216758,0
39,36.0,0.0,1250.0,48.0,1,2.0,0.0,7.13089883,0
40,48.0,0.0,1250.0,48.0003,0,1.0,1.0,7.13089883,0
41,47.0,0.0,,161.7,0,4.0,3.0,,2
42,19.0,1.0,,48.0,0,1.0,3.0,,0
43,21.0,0.0,187.5,48.0003,0,3.0,1.0,5.233778845,1
44,18.0,1.0,,48.0,0,2.0,1.0,,0
45,22.0,1.0,109.375,48.0003,1,1.0,2.0,4.694782345,0
47,43.0,1.0,2500.0,48.0,0,0.0,0.0,7.824046011,0
48,30.0,1.0,742.5742574,48.0003,0,0.0,1.0,6.610122876,0
49,27.0,1.0,562.5,48.0003,0,4.0,3.0,6.332391134,2
50,30.0,0.0,1172.5,457.8,0,1.0,1.0,7.0668935,0
51,22.0,0.0,2500.0,48.0003,0,2.0,1.0,7.824046011,0
52,17.0,1.0,,216.3,0,2.0,1.0,,0
53,35.0,1.0,468.5,48.0003,0,2.0,2.0,6.149536102000001,0
54,23.0,0.0,140.625,48.0003,0,3.0,2.0,4.946096773,2
55,64.0,0.0,1250.0,48.0003,1,0.0,0.0,7.13089883,1
56,29.0,0.0,1562.5,161.7,1,0.0,0.0,7.354042382,0
57,38.0,0.0,900.0,170.4,0,2.0,2.0,6.802394763,1
58,40.0,1.0,625.0,48.0003,0,2.0,3.0,6.43775165,0
60,28.0,1.0,,48.0003,0,6.0,3.0,,0
61,48.0,1.0,1875.0,48.0003,0,3.0,1.0,7.536363937999999,0
63,47.0,1.0,875.0,48.0003,1,0.0,0.0,6.774223886000001,0
64,28.0,0.0,1250.0,48.0,0,2.0,1.0,7.13089883,1
65,26.0,0.0,1250.0,48.0003,0,0.0,0.0,7.13089883,0
67,36.0,0.0,,48.0003,0,0.0,1.0,,1
70,35.0,0.0,578.125,21.0,0,0.0,0.0,6.359790107999999,0
73,55.0,0.0,3125.0,595.2,1,2.0,2.0,8.047189562,1
75,48.0,1.0,2187.5,170.4,0,0.0,1.0,7.690514618,1
76,49.0,1.0,2187.5,48.0003,0,0.0,0.0,7.690514618,0
77,31.0,1.0,937.5,125.4,0,1.0,2.0,6.843216758,0
78,45.0,1.0,1187.5,48.0,0,0.0,0.0,7.079605536,0
80,32.0,0.0,625.0,180.9,0,0.0,0.0,6.43775165,0
81,40.0,0.0,2187.0,161.7,0,1.0,1.0,7.690286021,0
82,53.0,0.0,312.5,29.4,0,0.0,0.0,5.7446044689999995,1
83,27.0,0.0,1562.5,48.0003,0,1.0,1.0,7.354042382,0
