d3mIndex,Company,Year,Date,Close
209,abbv,2013,11-26,42.341
210,abbv,2013,12-26,46.166
422,abbv,2014,11-24,60.957
423,abbv,2014,12-26,60.237
634,abbv,2015,11-25,56.002
635,abbv,2015,12-28,54.57100000000001
846,abbv,2016,11-28,57.367
847,abbv,2016,12-28,60.078
1058,abbv,2017,11-02,91.02
1232,baf,2005,11-28,9.0746
1233,baf,2005,12-28,9.0251
1444,baf,2006,11-28,9.612
1445,baf,2006,12-27,9.4987
1656,baf,2007,11-28,9.0402
1657,baf,2007,12-24,8.7377
1870,baf,2008,11-24,6.3213
1871,baf,2008,12-26,6.3759
2082,baf,2009,11-25,9.047
2083,baf,2009,12-28,9.3868
2293,baf,2010,11-26,9.753
2294,baf,2010,12-28,8.8276
2504,baf,2011,11-28,10.878
2505,baf,2011,12-28,11.105
2715,baf,2012,11-28,13.155
2716,baf,2012,12-24,12.554
2928,baf,2013,11-26,10.112
2929,baf,2013,12-26,10.693
3141,baf,2014,11-24,12.128
3142,baf,2014,12-26,12.314
3353,baf,2015,11-25,13.02
3354,baf,2015,12-28,13.3
3565,baf,2016,11-28,13.288
3566,baf,2016,12-28,13.478
3777,baf,2017,11-02,15.1
3951,caj,2005,11-28,34.53
3952,caj,2005,12-28,36.26
4163,caj,2006,11-28,46.849
4164,caj,2006,12-27,51.966
4375,caj,2007,11-28,48.68
4376,caj,2007,12-24,42.77
4589,caj,2008,11-24,27.48
4590,caj,2008,12-26,27.208
4801,caj,2009,11-25,34.902
4802,caj,2009,12-28,39.265
5012,caj,2010,11-26,43.45399999999999
5013,caj,2010,12-28,46.895
5223,caj,2011,11-28,39.156
5224,caj,2011,12-28,39.519
5434,caj,2012,11-28,32.073
5435,caj,2012,12-24,36.765
5647,caj,2013,11-26,30.65
5648,caj,2013,12-26,29.969
5860,caj,2014,11-24,29.734
5861,caj,2014,12-26,31.693
6072,caj,2015,11-25,29.183000000000003
6073,caj,2015,12-28,30.004
6284,caj,2016,11-28,28.137
6285,caj,2016,12-28,27.646
6496,caj,2017,11-02,37.73
6707,dac,2007,11-28,29.99
6708,dac,2007,12-24,26.81
6921,dac,2008,11-24,3.67
6922,dac,2008,12-26,5.89
7133,dac,2009,11-25,4.53
7134,dac,2009,12-28,4.5
7344,dac,2010,11-26,3.92
7345,dac,2010,12-28,3.76
7555,dac,2011,11-28,3.34
7556,dac,2011,12-28,3.5
7766,dac,2012,11-28,2.77
7767,dac,2012,12-24,2.57
7979,dac,2013,11-26,4.49
7980,dac,2013,12-26,4.89
8192,dac,2014,11-24,5.92
8193,dac,2014,12-26,5.35
8404,dac,2015,11-25,5.77
8405,dac,2015,12-28,4.94
8616,dac,2016,11-28,3.3
8617,dac,2016,12-28,2.55
8828,dac,2017,11-02,1.5
9038,ebay,1999,11-26,9.3224
9039,ebay,1999,12-28,7.3569
9251,ebay,2000,11-28,3.7921
9252,ebay,2000,12-27,3.7079
9460,ebay,2001,11-28,6.8476
9461,ebay,2001,12-24,6.7172
9672,ebay,2002,11-26,7.1086
9673,ebay,2002,12-26,7.117000000000001
9885,ebay,2003,11-24,11.477
9886,ebay,2003,12-26,13.342
10096,ebay,2004,11-26,23.464
10097,ebay,2004,12-28,24.44400000000001
10308,ebay,2005,11-28,19.095
10309,ebay,2005,12-28,18.674
10520,ebay,2006,11-28,13.476
10521,ebay,2006,12-27,12.862
10732,ebay,2007,11-28,14.205
10733,ebay,2007,12-24,14.380999999999998
10946,ebay,2008,11-24,5.3872
10947,ebay,2008,12-26,5.7239
11158,ebay,2009,11-25,9.937
11159,ebay,2009,12-28,10.046
11369,ebay,2010,11-26,13.11
11370,ebay,2010,12-28,11.932
11581,ebay,2011,11-28,12.483
11582,ebay,2011,12-28,12.799
11792,ebay,2012,11-28,21.662
11793,ebay,2012,12-24,21.498
12005,ebay,2013,11-26,20.522
12006,ebay,2013,12-26,22.753
12218,ebay,2014,11-24,22.891
12219,ebay,2014,12-26,24.007
12430,ebay,2015,11-25,29.0
12431,ebay,2015,12-28,27.64
12642,ebay,2016,11-28,28.57
12643,ebay,2016,12-28,30.01
12854,ebay,2017,11-02,37.4
13067,fanh,2008,11-24,5.9296
13068,fanh,2008,12-26,8.7612
13279,fanh,2009,11-25,21.923
13280,fanh,2009,12-28,20.472
13490,fanh,2010,11-26,21.331
13491,fanh,2010,12-28,16.003
13701,fanh,2011,11-28,5.9789
13702,fanh,2011,12-28,6.64
13912,fanh,2012,11-28,7.3306
13913,fanh,2012,12-24,6.5413
14125,fanh,2013,11-26,5.0219
14126,fanh,2013,12-26,5.6731
14338,fanh,2014,11-24,6.1565
14339,fanh,2014,12-26,6.7584
14550,fanh,2015,11-25,9.0868
14551,fanh,2015,12-28,9.1164
14762,fanh,2016,11-28,9.0473
14763,fanh,2016,12-28,8.2383
14974,fanh,2017,11-02,14.96
15067,gain,2005,11-28,7.58
15068,gain,2005,12-28,7.5469
15279,gain,2006,11-28,7.9286
15280,gain,2006,12-27,8.2763
15491,gain,2007,11-28,6.184
15492,gain,2007,12-24,5.5035
15705,gain,2008,11-24,2.2233
15706,gain,2008,12-26,2.3048
15917,gain,2009,11-25,2.5117
15918,gain,2009,12-28,2.4845
16128,gain,2010,11-26,4.2555
16129,gain,2010,12-28,4.1792
16339,gain,2011,11-28,4.099
16340,gain,2011,12-28,4.2084
16550,gain,2012,11-28,4.3751
16551,gain,2012,12-24,4.5323
16763,gain,2013,11-26,5.1622
16764,gain,2013,12-26,5.4171
16976,gain,2014,11-24,5.4977
