d3mIndex,G1.nodeID,G2.nodeID,match
0,v233,9d7289be90ada939,0
1,v193,69ba52b1f5c8abad,1
2,Mary Kling,698c7e1007d29bf8,1
3,Enrico Pavarotti,7a276e57977cd203,1
4,Kaethe Georg Eschweiler,05748500d49ee0d8,1
5,Else Kling,a5930fd1a4cae184,1
6,v164,5a3fd77617a2982f,1
7,Anna Ziegler,cf6a55f613056851,0
9,Elfriede Dabelstein,8fad6e0ea8a40419,1
10,Gundel Koch,ea81c14c7e0b2194,0
11,v223,56c49a640fe6c7cb,1
12,Boris Ecker,6cd8b19a56082b94,0
13,Egbert,0d416a408b81e21c,1
14,Sophie Ziegler,79025b46f4031806,1
15,v196,0089153bea5bba16,1
16,Chromo Hoyonda,55821423cdb566ba,1
17,Frank Dressler,2207c4db6e3c7e63,0
18,Urzula Wienicki,53e45c0384a6564a,0
19,v203,6d4d60879ebc100e,1
20,v204,e98749201415fc34,0
21,Knut Magirus,f1ec1926248e1055,1
22,Er-Schiller,c9dcd1cd99f721fa,1
24,Klaus Beimer,033aee198b2aca2c,0
25,Valerie Ecker,fe3dc863b57e51b3,0
26,Lydia Nolte,0de42138f8e27a25,1
27,Inka Fuchs,79cb8d064fc28a1a,1
28,Marlene Schmitt,a1a73969ba5e9aaa,0
29,Klaus Beimer,85213a2fef362995,1
30,Henny Schildknecht,69bab46122b927f5,1
31,Urzula Wienicki,fcae5538f8a48029,1
32,Herr Panowski,23c033cf3c7be65b,1
33,Pat Wolffson,641f5255276cb20a,0
34,Willy Jenner,68d6a1d74db5f3b1,0
35,Francesco,9abe75af2cb94e51,1
37,v234,da6be6cfae0e9bdc,1
38,Philipp Sperling,92cd2802e26b73ea,1
39,Bianca Guther,85213a2fef362995,0
40,Carola,25c5b8d262185d76,0
41,Bianca Guther,afdcd4d32943a3f4,1
42,Olli Klatt,56c49a640fe6c7cb,0
43,Erika,9560dfd6563c4ab8,0
44,Lisa Hoffmeister,3a3687dd044f4877,1
45,Momo Sperling,a66910b9b46d2819,1
46,Canan Dagdelen,f05805a297a55489,1
47,Karl Koch,10fbcf7be48d58e7,1
48,Robert Engel,8516658af2c671e4,1
49,Iffi Zenker,e4b72e811761c5bb,1
50,Jaruslav Winicki,3f081dd98c1c7738,1
51,v230,3c69d6a3227a987d,1
52,Hannes,c9dcd1cd99f721fa,0
53,v177,2864bcd491fba2ae,1
54,Sigi Kronmayr,a777f2f23580d9f0,1
57,Ernst-Hugo von Salen-Priesnitz,836eb0e8084184c9,1
58,Rita Bassermann,f07bc09baf9c2bd0,0
59,Elisabeth Dressler,09deb6499b56c1d5,1
60,Bruno Skabowski,85213a2fef362995,0
61,Karin Atter,de07ea5c7c41107c,0
62,Inge Kling,fa239260f76633c2,1
63,Benno Zimmermann,3b773ced8b96c79a,0
64,Ernst August Thelen,574b7987f068c32c,1
66,Tom Ziegler,7ea7ad97bbb89c98,1
67,Giancarlo,42a754b609538ec9,0
68,Hubert Koch,5d05274a12829cee,1
70,Kornelia Harnisch,b2a1b1ed2a1466b9,1
72,Bruno Skabowski,2baa2857d39f7760,1
73,Bolle Guenther Bollmann,da156e21fb535ec0,1
75,Francesco,361752b1b525b8d0,0
77,Giovanna Varese,2973bbee8c7cac8c,1
79,Herr Huetthusen,f54654e372daa3ae,1
80,Wolf-Dieter Dabelstein,a495d4823272fa5a,0
81,Theresa Zenker,6d4d60879ebc100e,0
82,Dieter Rantzow,66bb3a21181e41a6,1
83,Vasily Sarikakis,f05805a297a55489,0
84,Sue,a259de7561b6e42d,0
85,Dr. Ahmet Dagdelen,dc78671ab2bad213,0
86,v189,a8f5afb9c38ec26b,0
87,Paula Madalena Francesca Winicki,ce0dcbd98bf5786e,1
88,Doris Rantzow,4553e2fb16aab814,0
90,Helga Beimer Schiller,be049bbd41aaaf1d,1
91,Marlene Schmitt,c9c2b862cc80c3e0,1
92,Gottlieb Griese,b4d8ad96fa0d51e1,1
93,Onkel Franz Franz Witt,38451820b09b1629,1
94,Andy Zenker,27dfa647ea23f253,1
96,v215,6eac0b343f4ef5e1,0
97,v165,a1a73969ba5e9aaa,0
98,Philo Bennarsch,27cf64fd23d38e43,0
99,Herr Panowski,5e019a21dec4f619,0
100,Dr. Manfred Pauli,eb853100100f39f0,1
101,Bolle Guenther Bollmann,488a1558ba618ac3,0
103,Beate Sarikakis,c5aa8a547c442b08,1
104,Marcella Varese,16ac42ba9b39e301,1
105,Wilhelm Loesch,655e6fd7ba4d6176,0
106,Wanda Winicki,0c8615e536046940,0
108,Hubert Panowak,4732c71b296129f2,1
109,Jo Zenker,6acbde086d9675ba,1
110,Hans Beimer,a5f41e0f356eff9b,1
111,Eduard,f07bc09baf9c2bd0,1
112,Benny Beimer,e98749201415fc34,1
113,Erika,9d7289be90ada939,1
114,v224,5d4c3b850475533c,0
115,Giovanna Varese,25a84e16f70132df,0
116,Herr Hoffmeister,cf6a55f613056851,0
117,v228,1e60473fef79e655,1
118,Guenther Rantzow,ba65cad114f817ed,1
119,Herr Hoffmeister,0cc68d8c1898685d,1
120,Harry,2864bcd491fba2ae,0
121,Petra Strauss,b196f3c4c1c1108f,0
122,v183,41de91042e899a2d,0
123,v225,b0eadd2d80a26bdd,1
124,Alfredo,7beb65723fd3643e,0
126,Elena Sarikakis,6acbde086d9675ba,0
128,v181,a2dc368cd5462fe3,1
129,v233,91c8936651b9c593,1
130,Friedhelm Ziegler,72438a9e08bb29e8,1
131,Elfriede Dabelstein,27dfa647ea23f253,0
132,Dr. Ahmet Dagdelen,de07ea5c7c41107c,1
133,Max Zenker-gefunden,c24114560170a192,0
134,Sue,2b9e99ed1c3bff63,1
135,v183,35d1ead400fb460e,1
136,v195,6eac0b343f4ef5e1,1
137,Theo Klages,a5ed74537307d224,1
138,Celin Otto Wilhelm Kern,d6115f30c1085c46,1
139,Gustav Scholz,dc78671ab2bad213,1
140,Amelie von der Marwitz,0732167c8d95443b,1
141,Timo Zenker,f1ec1926248e1055,0
142,Kornelia Harnisch,5e019a21dec4f619,0
143,Gabi Zenker-geb.Skawowski,9165ccc367c486f8,1
144,v181,033aee198b2aca2c,0
145,Dagmar Hoffmeister,e7bdba56e46dc006,1
146,Gina Varese,a114485be3078b45,1
147,v220,05748500d49ee0d8,0
148,v224,2b3781f1330bbc0d,1
149,v194,72e5231da04d6c3c,1
150,v199,3ffa8ddf179da82d,1
151,Theo Nolte,3bc3072932ac63dc,1
152,v209,db4987fc3643a120,1
153,Hildegard Scholz,543d2121b220e2d0,1
154,Ernst+Lisl Wiesenhuber,9f6c24080d2c145e,1
155,Alexandros Kling,23645d16c7e9aae5,1
156,Sonia Besirski,7213e2c6557b8d11,0
157,Fritjof,3bc222d0c74cb338,1
158,Pat Wolffson,aac8bbd225c5785c,1
161,Meike Schildknecht,c4011a459260041f,1
162,v208,6b691669b2e330fa,0
163,Dr. Otto Pelsteiner,b6426692c5658d6e,1
164,v199,27c0c49051f0ccd5,0
165,Wanda Winicki,b4ade3d193db18e1,1
166,Marion Beimer,c58f6b3dfe30cdc8,1
167,Matthias Steinbrueck,488a1558ba618ac3,1
168,Jean-Luc Mourrait,42bf69e2827fd819,1
169,Petra Strauss,d188e40558519734,1
170,Friedemann Traube,788e2a1f206853f7,1
171,Der Englaender,68d6a1d74db5f3b1,1
172,v210,f6716c816bed970a,1
173,v204,3ec951aa90a16b3a,1
175,v182,4cc4a7a0c61b1857,1
176,Natale Pavarotti,b33ab88c7515985d,1
177,John,ab50091841269cff,1
178,v220,d4f185bd673d337b,1
179,Frau Horowitz,f8579ba3e30d95c5,1
180,Helga Beimer Schiller,23c033cf3c7be65b,0
181,Paul Nolte,72e5231da04d6c3c,0
182,Eduard,fd90a3801ed28a33,0
183,Egbert,3bc3072932ac63dc,0
184,Dieter Rantzow,6b691669b2e330fa,0
185,v184,8fbbb098d349e005,1
186,Lisa Hoffmeister,cb03ca0bd76d4a8e,0
187,Egon Kling,be049bbd41aaaf1d,0
188,v197,0d9335e5b8f0528b,1
189,Leo Klamm,3fbf8e6dd34b689d,0
190,Dimitri Pallas,25a84e16f70132df,1
191,Egon Kling,751c7235d957c6b4,1
192,Phil Seegers,8a3ee5cd3559e35b,1
195,Momo Sperling,5d05274a12829cee,0
198,Dani Schmitz,4a346a7b8e09ff0f,0
