d3mIndex,G1.nodeID,G2.nodeID,match
8,v211,8632d6a2841b9210,1
23,Natascha Rantzow,f8579ba3e30d95c5,0
36,Rita Bassermann,2a989525d0265699,1
55,v212,373cd8c38703a269,1
56,Dr. Rard Kirch,4553e2fb16aab814,1
65,Stefan Nossek,23645d16c7e9aae5,0
69,Anna Ziegler,f165845fa115e40b,1
71,Holger Graf Jakob Maria Grauvogel,d955c9831cc32278,1
74,v198,d46e67886fedc8f2,0
76,John,a2dc368cd5462fe3,0
78,Tante Betty Elizabeth Susan Schiller,d9509dd8244eff73,0
89,Christoph Bogner,41de91042e899a2d,1
95,Doris Rantzow,399d1e49d947c00a,1
102,Flora,ba65cad114f817ed,0
107,Dagmar Hoffmeister,9abe75af2cb94e51,0
125,Natale Pavarotti,751c7235d957c6b4,0
127,Timo Zenker,6c0f9f297471efbb,1
159,Corinna Marx,fe3dc863b57e51b3,1
160,Gundel Koch,37488e07b4553d64,1
174,Rolf Sattler,2baa2857d39f7760,0
193,v188,e4915850a06b3077,0
194,v186,c67bc346b5eadfe9,1
196,Dominique Mourrait,35ecbe14460e4006,1
197,v180,ce60d81a0ba0333e,1
204,Dr. Manfred Pauli,6b691669b2e330fa,0
210,v198,641f5255276cb20a,1
226,Valerie Ecker,3fbf8e6dd34b689d,1
227,Alfredo,bf3470aded6c627d,1
230,v232,cf6a55f613056851,1
233,v185,445e0048dbb9dfae,1
250,Joschi Bennarsch,5012fbddf54e9a83,1
305,Philipp Sperling,0d9335e5b8f0528b,0
318,v203,4a346a7b8e09ff0f,0
338,August,1e418b35685207a7,1
342,v231,9abe75af2cb94e51,0
366,Giancarlo,d5ad3f7192210fac,1
370,Paolo Varese,eb853100100f39f0,0
380,Gloria Birnbaum,0d60cd12b3db8f45,1
