d3mIndex,type,repeat,fold
8,TRAIN,0,0
23,TRAIN,0,0
36,TRAIN,0,0
55,TRAIN,0,0
56,TRAIN,0,0
65,TRAIN,0,0
69,TRAIN,0,0
71,TRAIN,0,0
74,TRAIN,0,0
76,TRAIN,0,0
78,TRAIN,0,0
89,TRAIN,0,0
95,TRAIN,0,0
102,TRAIN,0,0
107,TRAIN,0,0
125,TRAIN,0,0
127,TRAIN,0,0
159,TRAIN,0,0
160,TRAIN,0,0
174,TRAIN,0,0
193,TRAIN,0,0
194,TRAIN,0,0
196,TRAIN,0,0
197,TRAIN,0,0
204,TRAIN,0,0
210,TRAIN,0,0
226,TRAIN,0,0
227,TRAIN,0,0
230,TRAIN,0,0
233,TRAIN,0,0
250,TRAIN,0,0
305,TRAIN,0,0
318,TRAIN,0,0
338,TRAIN,0,0
342,TRAIN,0,0
366,TRAIN,0,0
370,TRAIN,0,0
380,TRAIN,0,0
