time,value
0,0.1795
1,1.0384
2,1.9464
3,2.7051
4,1.6707
5,-0.10117000000000001
6,-1.5789
7,-0.7509100000000001
8,0.17531
9,0.064901
10,0.44313
11,0.034638999999999996
12,0.0095426
13,-0.53952
14,-0.77037
15,-0.8646
16,-1.2169
17,-1.1221
18,-1.2971
19,-1.0562
20,-1.2684
21,-1.4927
22,-1.4999
23,-1.643
24,-1.5111
25,-1.8409
26,-1.5926
27,-1.7653
28,-2.0782
29,-1.8019999999999998
30,-2.03
31,-2.0198
32,-1.9856
33,-1.7245
34,-1.6564
35,-1.5422
36,-1.11
37,-0.71824
38,-0.30093000000000003
39,-0.23294
40,0.30359
41,0.46398
42,0.49706000000000006
43,0.86969
44,0.93148
45,0.77661
46,0.9572299999999999
47,0.8427100000000001
48,0.5999800000000001
49,0.8315799999999999
50,0.48951000000000006
51,0.3745
52,0.7258100000000001
53,0.5642699999999999
54,0.66096
55,0.52405
56,0.46671999999999997
57,0.61706
58,0.6849
59,0.46143
60,0.5070100000000001
61,0.5428
62,0.53118
63,0.7301300000000001
64,0.77407
65,0.55115
66,0.41733000000000003
67,0.58128
68,0.49455
69,0.49244
70,0.48735
71,0.46125
72,0.64846
73,0.99879
74,0.9627
75,1.0422
76,0.75879
77,0.6137699999999999
78,0.7397
79,0.41965
80,0.5865
81,0.34465999999999997
82,0.2075
83,0.52698
84,0.27258000000000004
85,0.34841
86,0.32432
87,0.33049
88,0.11195
89,0.44895
90,0.56713
91,0.13676
92,0.44477
93,0.15105
94,0.19338
95,0.45171000000000006
